book_url,autora
https://www.goodreads.com/book/show/61196550-nous-sans-l-tat,Yásnaya Elena Aguilar Gil
https://www.goodreads.com/book/show/95014679-cincuenta-y-cinco-cuadros-por-segundo,Flor Aguilera García
https://www.goodreads.com/book/show/95014688-el-sacrificio-de-los-lirios,Flor Aguilera García
https://www.goodreads.com/book/show/107530312-nuestro-planeta-natacha,Flor Aguilera García
https://www.goodreads.com/book/show/18750971-la-frontera,Gabriela Aguirre Sánchez
https://www.goodreads.com/book/show/957595.Telling_to_Live,Norma Alarcón
https://www.goodreads.com/book/show/90896.Writing_Self_Writing_Nation,Norma Alarcón
https://www.goodreads.com/book/show/75678.Between_Woman_and_Nation,Norma Alarcón
https://www.goodreads.com/book/show/590771.Third_Woman,Norma Alarcón
https://www.goodreads.com/book/show/1066110.Philippine_architecture_during_the_pre_Spanish_and_Spanish_periods,Norma Alarcón
https://www.goodreads.com/book/show/1406315.The_Postmodern_Turn,Norma Alarcón
https://www.goodreads.com/book/show/1066108.Chicana_Critical_Issues,Norma Alarcón
https://www.goodreads.com/book/show/1066109.Adaline_Kent_Award_1994,Norma Alarcón
https://www.goodreads.com/book/show/75528632-ninfoman-a,Norma Alarcón
https://www.goodreads.com/book/show/116515246-the-imperial-tapestry,Norma Alarcón
https://www.goodreads.com/book/show/8193392-perra-brava,Orfa Alarcón
https://www.goodreads.com/book/show/20313432-bitch-doll,Orfa Alarcón
https://www.goodreads.com/book/show/44587728-loba,Orfa Alarcón
https://www.goodreads.com/book/show/30165718-el-silencio-de-los-cuerpos,Orfa Alarcón
https://www.goodreads.com/book/show/59784446-dejar-huella-perros-de-papel-de-la-memoria-de-la-imaginaci-n,Orfa Alarcón
https://www.goodreads.com/book/show/44599185-monterrey-24,Orfa Alarcón
https://www.goodreads.com/book/show/43668442-loba-a-wolf-who-wants-to-be-free,Orfa Alarcón
https://www.goodreads.com/book/show/26819198-lados-b,Orfa Alarcón
https://www.goodreads.com/book/show/61110362-perra-brava-feisty-bitch,Orfa Alarcón
https://www.goodreads.com/book/show/75538394-perra-brava,Orfa Alarcón
https://www.goodreads.com/book/show/24259164-k-nigin-und-kojoten,Orfa Alarcón
https://www.goodreads.com/book/show/113196834-ni-de-jour-ni-de-nuit-fictions,Orfa Alarcón
https://www.goodreads.com/book/show/58722662-antolog-a-de-letras-dramaturgia-gui-n-cinematogr-fico-y-lenguas-ind-ge,Orfa Alarcón
https://www.goodreads.com/book/show/48539805-ludovico-el-volador,Carmen Alardín
https://www.goodreads.com/book/show/17909055-para-que-las-estrellas-te-recuerden,Carmen Alardín
https://www.goodreads.com/book/show/9270995-no-pude-detener-los-elefantes,Carmen Alardín
https://www.goodreads.com/book/show/50032018-la-ca-da-del-ngel,Carmen Alardín
https://www.goodreads.com/book/show/58642036-nuevas-formas-de-leer-poesia,Carmen Alardín
https://www.goodreads.com/book/show/27152205-estrellas-de-musgo-errante,Carmen Alardín
https://www.goodreads.com/book/show/9270994-entreacto,Carmen Alardín
https://www.goodreads.com/book/show/68493610-un-coraz-n-extraviado,María de Alva Levy
https://www.goodreads.com/book/show/40864647-club-de-los-perdedores-el,Lorena Amkie Cheirif
https://www.goodreads.com/book/show/89067555-gothic-fate,Lorena Amkie Cheirif
https://www.goodreads.com/book/show/92208819-gothic-more,Lorena Amkie Cheirif
https://www.goodreads.com/book/show/12125574-ten-an-veinte-a-os-y-estaban-locos,Miréia Anieva
https://www.goodreads.com/book/show/16064607-sangrantes,Miréia Anieva
https://www.goodreads.com/book/show/13447895-mi-pa-s-es-un-zombi,Miréia Anieva
https://www.goodreads.com/book/show/56905619-delincuentos,Arminé Arjona
https://www.goodreads.com/book/show/54148875-castigos-en-el-aire,Arminé Arjona
https://www.goodreads.com/book/show/29418514-sangre-m-a-blood-of-mine,Arminé Arjona
https://www.goodreads.com/book/show/13408464-la-permanencia-del-vampiro,Natalia Armienta Oikawa
https://www.goodreads.com/book/show/98369118-annika-y-las-galletas,Natalia Armienta Oikawa
https://www.goodreads.com/book/show/36233825-parkour-pop-tico,Verónica G. Arredondo
https://www.goodreads.com/book/show/60740886-verde-fuego-de-esp-ritus-green-fire-of-the-spirits,Verónica G. Arredondo
https://www.goodreads.com/book/show/56553688-y-son-nombres-de-mujeres-ii,Verónica G. Arredondo
https://www.goodreads.com/book/show/58558737-antolog-a-de-letras-dramaturgia-gui-n-cinematogr-fico-y-lenguas-ind-ge,Verónica G. Arredondo
https://www.goodreads.com/book/show/18751290-mis-presidentes,Isabel Arvide
https://www.goodreads.com/book/show/32063197-entre-pol-ticos-y-rufianes,Isabel Arvide
https://www.goodreads.com/book/show/6793639-la-guerra-de-los-espejos,Isabel Arvide
https://www.goodreads.com/book/show/23990094-mis-presidentes,Isabel Arvide
https://www.goodreads.com/book/show/24923594-mis-generales,Isabel Arvide
https://www.goodreads.com/book/show/39833881-entre-polaiticos-y-rufianes,Isabel Arvide
https://www.goodreads.com/book/show/3648037-la-decisi-n-presidencial,Isabel Arvide
https://www.goodreads.com/book/show/6793636-cr-nica-de-una-guerra-anunciada,Isabel Arvide
https://www.goodreads.com/book/show/6793638-la-sucesion-milenaria,Isabel Arvide
https://www.goodreads.com/book/show/36225448-s-merezco-abundancia,Isabel Arvide
https://www.goodreads.com/book/show/94159514-el-enemigo-est-en-casa,Isabel Arvide
https://www.goodreads.com/book/show/94160329-recuperar-el-fuego,Isabel Arvide
https://www.goodreads.com/book/show/97660015-la-c-rcel-del-norte,Isabel Arvide
https://www.goodreads.com/book/show/107820994-los-ultimos-heroes-isabe-arvide-editor-jean-sidaner,Isabel Arvide
https://www.goodreads.com/book/show/107864971-muerte-en-ju-rez-by-isabel-arvide,Isabel Arvide
https://www.goodreads.com/book/show/116828986-el-eden-recuperado,Isabel Arvide
https://www.goodreads.com/book/show/58610197-tras-bambalinas,Crista Aun
https://www.goodreads.com/book/show/58895977-cuarta-antolog-a-de-escritoras-mexicanas,Crista Aun
https://www.goodreads.com/book/show/40718910-penumbria-42,Crista Aun
https://www.goodreads.com/book/show/22879976-la-m-quina-de-vivir,Carmen Ávila
https://www.goodreads.com/book/show/18403383-terrible-extra-eza,Carmen Ávila
https://www.goodreads.com/book/show/43442411-el-virus-de-munch,Carmen Ávila
https://www.goodreads.com/book/show/53009349-el-barco-de-los-insomnes,Carmen Ávila
https://www.goodreads.com/book/show/56858798-adrift-on-a-sleepless-sea,Carmen Ávila
https://www.goodreads.com/book/show/40489344-postales-del-exilio,Carmen Ávila
https://www.goodreads.com/book/show/53009201-el-virus-de-munch,Carmen Ávila
https://www.goodreads.com/book/show/88292855-visible-cities,Carmen Ávila
https://www.goodreads.com/book/show/91158348-cidades-vis-veis,Carmen Ávila
https://www.goodreads.com/book/show/93005537-postais-do-ex-lio,Carmen Ávila
https://www.goodreads.com/book/show/98970860-la-m-quina-de-vivir,Carmen Ávila
https://www.goodreads.com/book/show/100790411-la-macchina-di-vivere,Carmen Ávila
https://www.goodreads.com/book/show/100791076-cartoline-dell-esilio,Carmen Ávila
https://www.goodreads.com/book/show/100791179-the-machine-for-living,Carmen Ávila
https://www.goodreads.com/book/show/100791965-postkarten-aus-dem-exil,Carmen Ávila
https://www.goodreads.com/book/show/100792535-a-m-quina-de-viver,Carmen Ávila
https://www.goodreads.com/book/show/102073367-citt-visibili,Carmen Ávila
https://www.goodreads.com/book/show/120760811-christmas-coloring-activity,Carmen Ávila
https://www.goodreads.com/book/show/62872707-de-similar-alma-veinticuatro-estaciones-de-un-viaje-de-invierno,Carmen Ávila
https://www.goodreads.com/book/show/33259142-cuentos-de-barbarie,Marisa Avilés
https://www.goodreads.com/book/show/36680889-los-insomnios-antolog-a-de-cuento-fant-stico,Marisa Avilés
https://www.goodreads.com/book/show/50527347-nadie-duerme-esta-noche,Marisa Avilés
https://www.goodreads.com/book/show/57586241-antolog-a-breve-de-cuento,Marisa Avilés
https://www.goodreads.com/book/show/27069626-bit-cora-del-eterno-navegante,Marisa Avilés
https://www.goodreads.com/book/show/50527373-ese-lugar-existe,Marisa Avilés
https://www.goodreads.com/book/show/61392938-si-tuvi-ramos-que-hablar-de-los-muertos,Marisa Avilés
https://www.goodreads.com/book/show/62243986-ese-lugar-existe,Marisa Avilés
https://www.goodreads.com/book/show/108896262-entre-el-d-a-y-la-noche-cuentos-para-morir-de-pie,Marisa Avilés
https://www.goodreads.com/book/show/16137871-m-s-de-lo-que-te-imaginas-cuentos-perversos,Rowena Bali
https://www.goodreads.com/book/show/55754754-el-agente-morboso,Rowena Bali
https://www.goodreads.com/book/show/20317865-material-de-lectura,Rowena Bali
https://www.goodreads.com/book/show/23962751-lados-b-2014,Rowena Bali
https://www.goodreads.com/book/show/18337830-la-herida-en-el-cielo,Rowena Bali
https://www.goodreads.com/book/show/20325422-el-ej-rcito-de-sodoma,Rowena Bali
https://www.goodreads.com/book/show/56760576-indiscriminable,Rowena Bali
https://www.goodreads.com/book/show/57456538-inventario-de-las-cosas-perdidas,Yaroslabi Bañuelos
https://www.goodreads.com/book/show/56385388-otro-agosto-habita-el-aire,Yaroslabi Bañuelos
https://www.goodreads.com/book/show/8312208-abecedario-para-ni-as-solitarias,Rosaura Barahona
https://www.goodreads.com/book/show/43831927-esta-es-mi-naturaleza,Karla Gabriela Barajas Ramos
