nombre,id,url
Amparo Dávila,1802205,https://www.goodreads.com/author/list/1802205?page=1&per_page=100
Marcela del Río,5485581,https://www.goodreads.com/author/list/5485581?page=1&per_page=100
Adriana Díaz Enciso,2150951,https://www.goodreads.com/author/list/2150951?page=1&per_page=100
Claudina Domingo,13929386,https://www.goodreads.com/author/list/13929386?page=1&per_page=100
Isolda Dosamantes,20041931,https://www.goodreads.com/author/list/20041931?page=1&per_page=100
Elisa Ramírez Castañeda,1548446,https://www.goodreads.com/author/list/1548446?page=1&per_page=100
Roxana Elvridge-Thomas,2833312,https://www.goodreads.com/author/list/2833312?page=1&per_page=100
Jimena Eme Vázquez,16839207,https://www.goodreads.com/author/list/16839207?page=1&per_page=100
María Amparo Escandón,3215754,https://www.goodreads.com/author/list/3215754?page=1&per_page=100
Beatriz Espejo,477629,https://www.goodreads.com/author/list/477629?page=1&per_page=100
Cecilia Eudave,3363541,https://www.goodreads.com/author/list/3363541?page=1&per_page=100
Carla Faesler,4413416,https://www.goodreads.com/author/list/4413416?page=1&per_page=100
Guadalupe Flores Liera,101719,https://www.goodreads.com/author/list/101719?page=1&per_page=100
Liliana Flores,1219434,https://www.goodreads.com/author/list/1219434?page=1&per_page=100
Ana García Bergua,477685,https://www.goodreads.com/author/list/477685?page=1&per_page=100
Julieta García González,524017,https://www.goodreads.com/author/list/524017?page=1&per_page=100
Adriana García Roel,13830018,https://www.goodreads.com/author/list/13830018?page=1&per_page=100
Elpidia García,8438478,https://www.goodreads.com/author/list/8438478?page=1&per_page=100
Esther M. García,5620436,https://www.goodreads.com/author/list/5620436?page=1&per_page=100
Verónica Gerber Bicecci,6426807,https://www.goodreads.com/author/list/6426807?page=1&per_page=100
Gloria Gervitz,654783,https://www.goodreads.com/author/list/654783?page=1&per_page=100
Margo Glantz,21838,https://www.goodreads.com/author/list/21838?page=1&per_page=100
Anamari Gomís,136689,https://www.goodreads.com/author/list/136689?page=1&per_page=100
Reyna Grande,136841,https://www.goodreads.com/author/list/136841?page=1&per_page=100
Dina Grijalva,16607759,https://www.goodreads.com/author/list/16607759?page=1&per_page=100
Sofía Guadarrama Collado,15217713,https://www.goodreads.com/author/list/15217713?page=1&per_page=100
Clara del Carmen Guillén Torres,,
Claudia Hernández de Valle Arizpe,5552223,https://www.goodreads.com/author/list/5552223?page=1&per_page=100
Malú Huacuja del Toro,1277166,https://www.goodreads.com/author/list/1277166?page=1&per_page=100
Bárbara Jacobs,8248050,https://www.goodreads.com/author/list/8248050?page=1&per_page=100
Ana Lau Jaiven,20159629,https://www.goodreads.com/author/list/20159629?page=1&per_page=100
Gabriela Jáuregui,837141,https://www.goodreads.com/author/list/837141?page=1&per_page=100
Miraceti Jiménez,14186979,https://www.goodreads.com/author/list/14186979?page=1&per_page=100
Laia Jufresa,13537018,https://www.goodreads.com/author/list/13537018?page=1&per_page=100
Anna Kullick Lackner,15143769,https://www.goodreads.com/author/list/15143769?page=1&per_page=100
Norma Lazo,1032409,https://www.goodreads.com/author/list/1032409?page=1&per_page=100
Mónica Lavín,312139,https://www.goodreads.com/author/list/312139?page=1&per_page=100
Leonor Azcárate,13828980,https://www.goodreads.com/author/list/13828980?page=1&per_page=100
Valeria List,19938733,https://www.goodreads.com/author/list/19938733?page=1&per_page=100
Guadalupe Lizárraga,17655126,https://www.goodreads.com/author/list/17655126?page=1&per_page=100
Anaí López,5144248,https://www.goodreads.com/author/list/5144248?page=1&per_page=100
Nadia López García,18676356,https://www.goodreads.com/author/list/18676356?page=1&per_page=100
Tedi López Mills,256216,https://www.goodreads.com/author/list/256216?page=1&per_page=100
Sandra Lorenzano,1241709,https://www.goodreads.com/author/list/1241709?page=1&per_page=100
Lucía Rivadeneyra,27806327,https://www.goodreads.com/author/list/27806327?page=1&per_page=100
Valeria Luiselli,4405738,https://www.goodreads.com/author/list/4405738?page=1&per_page=100
Lydiette Carrión,17733695,https://www.goodreads.com/author/list/17733695?page=1&per_page=100
Elva Macías,435475,https://www.goodreads.com/author/list/435475?page=1&per_page=100
Lourdes Macluf,845901,https://www.goodreads.com/author/list/845901?page=1&per_page=100
Velia Marmolejo Fat,,
Blanca Mart,4945014,https://www.goodreads.com/author/list/4945014?page=1&per_page=100
Ángeles Mastretta,1210837,https://www.goodreads.com/author/list/1210837?page=1&per_page=100
Yolanda Matías,11139,https://www.goodreads.com/author/list/11139?page=1&per_page=100
Fernanda Melchor,7127150,https://www.goodreads.com/author/list/7127150?page=1&per_page=100
María Antonieta Mendívil,6872896,https://www.goodreads.com/author/list/6872896?page=1&per_page=100
Clyo Mendoza,13846070,https://www.goodreads.com/author/list/13846070?page=1&per_page=100
Beatriz Meyer,7136029,https://www.goodreads.com/author/list/7136029?page=1&per_page=100
Silvia Molina,578330,https://www.goodreads.com/author/list/578330?page=1&per_page=100
Ana Francis Mor,6555503,https://www.goodreads.com/author/list/6555503?page=1&per_page=100
Angelina Muñiz-Huberman,1293588,https://www.goodreads.com/author/list/1293588?page=1&per_page=100
Verónica Murguía,119769,https://www.goodreads.com/author/list/119769?page=1&per_page=100
Thelma Nava,1363603,https://www.goodreads.com/author/list/1363603?page=1&per_page=100
Queta Navagómez,6112566,https://www.goodreads.com/author/list/6112566?page=1&per_page=100
